THETA,Form_1,Form_2,Form_3,Form_4,Form_5,Form_6
-4.0,13.88,12.19,11.65,11.33,11.15,11.55
-3.9,14.18,12.45,11.91,11.59,11.4,11.8
-3.8,14.51,12.74,12.2,11.87,11.67,12.08
-3.7,14.86,13.05,12.51,12.18,11.97,12.38
-3.6,15.23,13.38,12.84,12.5,12.29,12.7
-3.5,15.62,13.74,13.2,12.84,12.63,13.04
-3.4,16.03,14.12,13.58,13.21,13.0,13.41
-3.3,16.47,14.53,13.99,13.61,13.39,13.81
-3.2,16.93,14.97,14.42,14.03,13.82,14.23
-3.1,17.42,15.43,14.88,14.48,14.27,14.69
-3.0,17.93,15.92,15.38,14.97,14.76,15.17
-2.9,18.48,16.45,15.9,15.48,15.27,15.69
-2.8,19.05,17.01,16.46,16.02,15.82,16.25
-2.7,19.65,17.6,17.05,16.6,16.41,16.84
-2.6,20.28,18.22,17.68,17.22,17.03,17.46
-2.5,20.94,18.88,18.35,17.86,17.69,18.12
-2.4,21.63,19.57,19.05,18.55,18.39,18.83
-2.3,22.35,20.3,19.79,19.27,19.13,19.57
-2.2,23.11,21.07,20.56,20.03,19.91,20.35
-2.1,23.9,21.87,21.38,20.83,20.73,21.17
-2.0,24.72,22.7,22.24,21.67,21.58,22.03
-1.9,25.57,23.58,23.13,22.54,22.48,22.93
-1.8,26.46,24.48,24.07,23.46,23.41,23.87
-1.7,27.39,25.43,25.04,24.41,24.39,24.85
-1.6,28.34,26.41,26.05,25.4,25.4,25.87
-1.5,29.33,27.42,27.09,26.42,26.45,26.92
-1.4,30.35,28.47,28.17,27.48,27.54,28.02
-1.3,31.4,29.55,29.29,28.58,28.66,29.14
-1.2,32.47,30.66,30.43,29.7,29.81,30.3
-1.1,33.58,31.8,31.61,30.86,30.99,31.49
-1.0,34.7,32.97,32.81,32.04,32.2,32.71
-0.9,35.85,34.16,34.04,33.25,33.44,33.96
-0.8,37.02,35.38,35.29,34.49,34.7,35.23
-0.7,38.21,36.62,36.56,35.74,35.98,36.51
-0.6,39.41,37.88,37.85,37.01,37.28,37.82
-0.5,40.62,39.15,39.15,38.3,38.59,39.14
-0.4,41.84,40.43,40.46,39.59,39.91,40.48
-0.3,43.07,41.72,41.78,40.9,41.24,41.82
-0.2,44.31,43.02,43.1,42.21,42.58,43.16
-0.1,45.54,44.31,44.42,43.52,43.92,44.51
0.0,46.77,45.61,45.75,44.83,45.25,45.85
0.1,48.0,46.9,47.06,46.13,46.58,47.19
0.2,49.22,48.18,48.37,47.43,47.91,48.51
0.3,50.43,49.45,49.66,48.72,49.22,49.83
0.4,51.62,50.71,50.94,49.99,50.52,51.13
0.5,52.8,51.95,52.21,51.25,51.8,52.41
0.6,53.97,53.18,53.45,52.49,53.06,53.67
0.7,55.11,54.38,54.67,53.7,54.3,54.91
0.8,56.23,55.57,55.87,54.9,55.52,56.12
0.9,57.33,56.72,57.04,56.06,56.71,57.31
1.0,58.4,57.86,58.18,57.21,57.87,58.46
1.1,59.44,58.96,59.29,58.32,59.01,59.59
1.2,60.45,60.03,60.37,59.4,60.11,60.68
1.3,61.43,61.07,61.41,60.45,61.18,61.74
1.4,62.38,62.08,62.42,61.47,62.21,62.76
1.5,63.3,63.06,63.4,62.45,63.21,63.75
1.6,64.18,64.0,64.34,63.4,64.17,64.7
1.7,65.04,64.91,65.24,64.31,65.1,65.62
1.8,65.85,65.78,66.11,65.19,65.98,66.49
1.9,66.64,66.62,66.94,66.03,66.83,67.33
2.0,67.39,67.42,67.74,66.84,67.65,68.13
2.1,68.1,68.18,68.5,67.61,68.42,68.9
2.2,68.79,68.91,69.22,68.34,69.16,69.63
2.3,69.44,69.61,69.91,69.04,69.87,70.32
2.4,70.07,70.27,70.56,69.71,70.53,70.97
2.5,70.66,70.9,71.18,70.34,71.16,71.59
2.6,71.23,71.49,71.77,70.94,71.76,72.17
2.7,71.76,72.05,72.32,71.51,72.33,72.72
2.8,72.27,72.58,72.85,72.05,72.86,73.24
2.9,72.76,73.08,73.34,72.56,73.36,73.73
3.0,73.21,73.55,73.8,73.04,73.83,74.18
3.1,73.65,74.0,74.24,73.5,74.27,74.61
3.2,74.06,74.42,74.65,73.93,74.68,75.01
3.3,74.45,74.81,75.03,74.33,75.07,75.38
3.4,74.81,75.17,75.39,74.71,75.43,75.73
3.5,75.16,75.52,75.73,75.06,75.77,76.06
3.6,75.48,75.84,76.04,75.4,76.09,76.36
3.7,75.79,76.14,76.33,75.71,76.38,76.64
3.8,76.08,76.42,76.6,76.0,76.65,76.9
3.9,76.35,76.68,76.86,76.28,76.91,77.14
4.0,76.6,76.93,77.09,76.54,77.15,77.36
